# # g235h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
1.807906e+00 8.401725e-15 7.542586e-18
1.808302e+00 8.646444e-15 8.242680e-18
1.808698e+00 8.352393e-15 8.511212e-18
1.809094e+00 8.473733e-15 8.738161e-18
1.809490e+00 8.777697e-15 8.812069e-18
1.809886e+00 8.892740e-15 8.836847e-18
1.810282e+00 8.507783e-15 8.896869e-18
1.810678e+00 7.664064e-15 8.932676e-18
1.811074e+00 7.568524e-15 9.080191e-18
1.811470e+00 8.164614e-15 9.623865e-18
1.811866e+00 8.484406e-15 9.902504e-18
1.812262e+00 nan nan
1.812658e+00 nan nan
1.813054e+00 8.168223e-15 8.437099e-18
1.813450e+00 8.559407e-15 8.766382e-18
1.813846e+00 8.924472e-15 8.786067e-18
1.814242e+00 9.555601e-15 9.044191e-18
1.814638e+00 9.982325e-15 2.150526e-17
1.815034e+00 8.990255e-15 8.966462e-18
1.815430e+00 8.764307e-15 9.105865e-18
1.815826e+00 8.915686e-15 9.680889e-18
1.816222e+00 8.950833e-15 9.173726e-18
1.816618e+00 8.837793e-15 8.608275e-18
1.817014e+00 8.151085e-15 8.034360e-18
1.817410e+00 7.839789e-15 7.846784e-18
1.817806e+00 8.040074e-15 8.281876e-18
1.818202e+00 8.034772e-15 8.364277e-18
1.818598e+00 8.034470e-15 1.034409e-17
1.818994e+00 8.321018e-15 1.169249e-17
1.819390e+00 8.150338e-15 1.211521e-17
1.819786e+00 8.028647e-15 1.206997e-17
1.820182e+00 8.354281e-15 1.393917e-17
1.820578e+00 8.288757e-15 1.208669e-17
1.820974e+00 8.115546e-15 1.142081e-17
1.821370e+00 7.887188e-15 1.106287e-17
1.821766e+00 7.559233e-15 1.079990e-17
1.822162e+00 7.461632e-15 1.071174e-17
1.822558e+00 7.870185e-15 1.107284e-17
1.822954e+00 8.580277e-15 1.148220e-17
1.823350e+00 9.076807e-15 1.180944e-17
1.823746e+00 9.204399e-15 1.146622e-17
1.824142e+00 9.153935e-15 9.620125e-18
1.824538e+00 8.779238e-15 8.531803e-18
1.824934e+00 8.136042e-15 7.424925e-18
1.825330e+00 7.977476e-15 7.022929e-18
1.825726e+00 8.244604e-15 7.131487e-18
1.826122e+00 7.601870e-15 6.634277e-18
1.826518e+00 7.278985e-15 6.336801e-18
1.826914e+00 7.933935e-15 6.661668e-18
1.827310e+00 8.276696e-15 6.870565e-18
1.827706e+00 8.281439e-15 6.898803e-18
1.828102e+00 8.526622e-15 6.913483e-18
1.828498e+00 8.682262e-15 6.901458e-18
1.828894e+00 8.453838e-15 6.770355e-18
1.829290e+00 8.597378e-15 7.066720e-18
1.829686e+00 8.857249e-15 7.965136e-18
1.830082e+00 8.644883e-15 9.668260e-18
1.830478e+00 8.241734e-15 9.881790e-18
1.830874e+00 8.426073e-15 1.009301e-17
1.831270e+00 8.539975e-15 1.034478e-17
1.831666e+00 8.444607e-15 1.031778e-17
1.832062e+00 7.996491e-15 9.953628e-18
1.832458e+00 7.595229e-15 9.562024e-18
1.832854e+00 7.754838e-15 9.283968e-18
1.833250e+00 8.128009e-15 8.481052e-18
1.833646e+00 8.226313e-15 8.216795e-18
1.834042e+00 8.199795e-15 7.834411e-18
1.834438e+00 8.249343e-15 9.872220e-18
1.834834e+00 7.963509e-15 9.618064e-18
1.835230e+00 8.085410e-15 9.700564e-18
1.835626e+00 8.423806e-15 7.886351e-18
1.836022e+00 8.279950e-15 6.912770e-18
1.836418e+00 8.444064e-15 7.004206e-18
1.836814e+00 8.735032e-15 7.577233e-18
1.837210e+00 8.407794e-15 7.413039e-18
1.837606e+00 7.644261e-15 6.995533e-18
1.838002e+00 7.634209e-15 6.874439e-18
1.838398e+00 8.200320e-15 7.438616e-18
1.838794e+00 8.231351e-15 7.781539e-18
1.839190e+00 7.824709e-15 7.612629e-18
1.839586e+00 7.523325e-15 7.489648e-18
1.839982e+00 7.744517e-15 7.698126e-18
1.840378e+00 8.100646e-15 7.914025e-18
1.840774e+00 8.507344e-15 8.063631e-18
1.841170e+00 9.010367e-15 8.679809e-18
1.841566e+00 8.513751e-15 8.663645e-18
1.841962e+00 7.532265e-15 8.065616e-18
1.842358e+00 7.227583e-15 7.843235e-18
1.842754e+00 7.367005e-15 8.044227e-18
1.843150e+00 7.493446e-15 8.154002e-18
1.843546e+00 7.466658e-15 8.062181e-18
1.843942e+00 7.293219e-15 7.874371e-18
1.844338e+00 7.145880e-15 7.790649e-18
1.844734e+00 7.435035e-15 8.060350e-18
1.845130e+00 nan nan
1.845526e+00 nan nan
1.845922e+00 7.840116e-15 8.301753e-18
1.846318e+00 7.936541e-15 8.765592e-18
1.846714e+00 7.404993e-15 8.301420e-18
1.847110e+00 7.044800e-15 7.927795e-18
1.847506e+00 7.161011e-15 7.727954e-18
1.847902e+00 6.897266e-15 7.322860e-18
1.848298e+00 6.397762e-15 6.959875e-18
1.848694e+00 6.631653e-15 7.122654e-18
1.849090e+00 7.242807e-15 7.231017e-18
1.849486e+00 7.380840e-15 7.373578e-18
1.849882e+00 7.358794e-15 8.173487e-18
1.850278e+00 7.301931e-15 8.713701e-18
1.850674e+00 7.427835e-15 8.852857e-18
1.851070e+00 7.867110e-15 8.823271e-18
1.851466e+00 8.154366e-15 8.929526e-18
1.851862e+00 8.305042e-15 9.031698e-18
1.852258e+00 8.269238e-15 8.723533e-18
1.852654e+00 8.041636e-15 8.579076e-18
1.853050e+00 7.460794e-15 8.078735e-18
1.853446e+00 7.146494e-15 7.779745e-18
1.853842e+00 7.169723e-15 8.212649e-18
1.854238e+00 7.399406e-15 8.529957e-18
1.854634e+00 7.621738e-15 8.224229e-18
1.855030e+00 7.179249e-15 7.649062e-18
1.855426e+00 7.556616e-15 7.845695e-18
1.855822e+00 7.688611e-15 7.838952e-18
1.856218e+00 7.028726e-15 7.233589e-18
1.856614e+00 6.344655e-15 6.650818e-18
1.857010e+00 6.480693e-15 6.746461e-18
1.857406e+00 6.920776e-15 6.426483e-18
1.857802e+00 6.654938e-15 6.021551e-18
1.858198e+00 6.356616e-15 5.693646e-18
1.858594e+00 6.532063e-15 5.828746e-18
1.858990e+00 6.654772e-15 5.824661e-18
1.859386e+00 6.787729e-15 5.794773e-18
1.859782e+00 6.922209e-15 5.808352e-18
1.860178e+00 6.805242e-15 5.700274e-18
1.860574e+00 6.675387e-15 5.614976e-18
1.860970e+00 6.650621e-15 5.542109e-18
1.861366e+00 6.733767e-15 5.574804e-18
1.861762e+00 7.174088e-15 5.746654e-18
1.862158e+00 7.462001e-15 5.857115e-18
1.862554e+00 7.163859e-15 5.753038e-18
1.862950e+00 7.010056e-15 6.005526e-18
1.863346e+00 7.342564e-15 6.488678e-18
1.863742e+00 7.524636e-15 6.954870e-18
1.864138e+00 7.336039e-15 7.092282e-18
1.864534e+00 7.209502e-15 7.068955e-18
1.864930e+00 7.059477e-15 7.163978e-18
1.865326e+00 6.702297e-15 7.605674e-18
1.865722e+00 6.761717e-15 7.987429e-18
1.866118e+00 7.302356e-15 8.562245e-18
1.866514e+00 7.671768e-15 9.093032e-18
1.866910e+00 7.551502e-15 9.052947e-18
1.867306e+00 7.362203e-15 8.675905e-18
1.867702e+00 6.896327e-15 7.427534e-18
1.868098e+00 6.606355e-15 6.743868e-18
1.868494e+00 7.137684e-15 6.873947e-18
1.868890e+00 7.437695e-15 7.188611e-18
1.869286e+00 7.533873e-15 7.596807e-18
1.869682e+00 7.548851e-15 8.931977e-18
1.870078e+00 7.658374e-15 8.910884e-18
1.870474e+00 7.778097e-15 9.477413e-18
1.870870e+00 7.709874e-15 8.934887e-18
1.871266e+00 7.009687e-15 8.352602e-18
1.871662e+00 6.992351e-15 9.639837e-18
1.872058e+00 7.338236e-15 1.102911e-17
1.872454e+00 7.332898e-15 1.111342e-17
1.872850e+00 6.839096e-15 1.061822e-17
1.873246e+00 6.300817e-15 1.129610e-17
1.873642e+00 6.520442e-15 1.451984e-17
1.874038e+00 7.162143e-15 1.708320e-17
1.874434e+00 7.440431e-15 1.876801e-17
1.874830e+00 7.322506e-15 1.858804e-17
1.875226e+00 7.227449e-15 1.837662e-17
1.875622e+00 7.451113e-15 1.892547e-17
1.876018e+00 7.764389e-15 1.980575e-17
1.876414e+00 7.586253e-15 1.918682e-17
1.876810e+00 7.206522e-15 1.835205e-17
1.877206e+00 7.076078e-15 1.719656e-17
1.877602e+00 7.079533e-15 1.247391e-17
1.877998e+00 6.923331e-15 1.029919e-17
1.878394e+00 6.542689e-15 8.837286e-18
1.878790e+00 6.548170e-15 9.551790e-18
1.879186e+00 6.864337e-15 7.363307e-18
1.879582e+00 6.998375e-15 7.241470e-18
1.879978e+00 7.129545e-15 7.350266e-18
1.880374e+00 7.554868e-15 7.560388e-18
1.880770e+00 7.835787e-15 7.499348e-18
1.881166e+00 7.466285e-15 7.192033e-18
1.881562e+00 7.074665e-15 7.011900e-18
1.881958e+00 7.400840e-15 7.288205e-18
1.882354e+00 7.944179e-15 7.629221e-18
1.882750e+00 8.262583e-15 8.796115e-18
1.883146e+00 8.297597e-15 7.958113e-18
1.883542e+00 8.227673e-15 1.147997e-17
1.883938e+00 7.977760e-15 7.455225e-18
1.884334e+00 7.835188e-15 7.496890e-18
1.884730e+00 7.510520e-15 7.995775e-18
1.885126e+00 7.190415e-15 7.700689e-18
1.885522e+00 7.007948e-15 6.875904e-18
1.885918e+00 7.473319e-15 1.361881e-17
1.886314e+00 7.700558e-15 7.076171e-18
1.886710e+00 7.539843e-15 7.007519e-18
1.887106e+00 7.588417e-15 6.812241e-18
1.887502e+00 7.955601e-15 6.793847e-18
1.887898e+00 8.033457e-15 6.747871e-18
1.888294e+00 7.752820e-15 6.516811e-18
1.888690e+00 7.119061e-15 6.199659e-18
