# Wlen(nm) Transmission
1.922784875091935874e+03 5.199251667634309237e-01
1.922791354625341683e+03 4.468227865710096003e-01
1.922798069291815182e+03 3.743013438665408477e-01
1.922804550435314695e+03 3.151190712869556543e-01
1.922811176869334986e+03 2.814554090382484497e-01
1.922817745803395837e+03 2.805985741713240555e-01
1.922824283826199007e+03 3.126319583334232211e-01
1.922830940729495296e+03 3.704711142849850813e-01
1.922837419635050082e+03 4.419902357657893299e-01
1.922844105739995030e+03 5.143809202069796749e-01
1.922850613934373541e+03 5.783800750932048818e-01
1.922857211195429500e+03 6.299202388429425703e-01
1.922863807791493400e+03 6.689380823921149410e-01
1.922870316029791638e+03 6.973558559275105928e-01
1.922877001206319164e+03 7.175126665422164596e-01
1.922883479483539531e+03 7.313616423170573588e-01
1.922890134936646746e+03 7.403055296443458166e-01
1.922896672271137959e+03 7.452128779474431752e-01
1.922903238268558198e+03 7.464761992391275580e-01
1.922909864616220148e+03 7.439663021734821413e-01
1.922916342449564581e+03 7.371427389709195310e-01
1.922923055048076321e+03 7.254071930916894395e-01
1.922929534167097700e+03 7.087069544604878146e-01
1.922936156876810855e+03 6.884441547902953040e-01
1.922942725441893799e+03 6.681083799781593058e-01
1.922949258083761606e+03 6.525506735861055230e-01
1.922955916273861931e+03 6.459076181544953776e-01
1.922962393478042713e+03 6.501089659457949255e-01
1.922969071852772231e+03 6.646376290031449363e-01
1.922975583682008619e+03 6.865510614586416427e-01
1.922982171555523792e+03 7.112447334585058067e-01
1.922988773442924412e+03 7.344191887619383463e-01
1.922995270636073656e+03 7.536747628759173923e-01
1.923001962760700280e+03 7.684989200806447984e-01
1.923008439335232879e+03 7.794535489384220028e-01
1.923015081392489037e+03 7.874641803415696195e-01
1.923021628024553365e+03 7.933632295438741711e-01
1.923028178967816984e+03 7.977795486516996437e-01
1.923034816270510646e+03 8.011427771890345939e-01
1.923041292400235079e+03 8.037346107858894806e-01
1.923047987592878371e+03 8.057561755920071844e-01
1.923054480017414789e+03 8.073358591023885866e-01
1.923061083662257261e+03 8.085708122458993286e-01
1.923067667191010059e+03 8.095251279075368345e-01
1.923074179108719591e+03 8.102450309178567123e-01
1.923080853920930622e+03 8.107656475299465093e-01
1.923087329420176275e+03 8.111037166888297456e-01
1.923093984717612329e+03 8.112783349637451291e-01
1.923100515520864747e+03 8.112895273605541524e-01
1.923107078657101965e+03 8.111290078982916762e-01
1.923113701177655685e+03 8.107734028631131684e-01
1.923120176231503592e+03 8.101969207446806376e-01
1.923126882132100945e+03 8.094104507003672122e-01
1.923133361258739797e+03 8.084864528010567986e-01
1.923139974563889382e+03 8.075948791277648420e-01
1.923146545841856096e+03 8.069112231657943335e-01
1.923153066372045942e+03 8.065383784774258213e-01
1.923159729980762449e+03 8.064973630815858163e-01
1.923166204403301208e+03 8.067185728561775404e-01
1.923172866827299231e+03 8.070503600465468441e-01
1.923179387912197853e+03 8.073053818367200707e-01
1.923185957126728908e+03 8.073722386852606459e-01
1.923192570976661273e+03 8.072248655378090332e-01
1.923199046802108796e+03 8.068875241538552290e-01
1.923205753596600971e+03 8.064100930881724638e-01
1.923212227387343546e+03 8.058298803011610945e-01
1.923218844235520692e+03 8.051822257816330097e-01
1.923225409376819471e+03 8.044818812386819173e-01
1.923231932401147105e+03 8.037361324245814176e-01
1.923238590921548166e+03 8.029469671435961464e-01
1.923245064265957353e+03 8.021041481071393697e-01
1.923251727696635271e+03 8.012023911598290526e-01
1.923258245179898950e+03 8.002298847082610633e-01
1.923264814351779478e+03 7.991809196528251169e-01
1.923271425648870718e+03 7.980445637815652971e-01
1.923277900382156986e+03 7.968038565687428632e-01
1.923284605672782391e+03 7.954454691201707783e-01
1.923291078384562752e+03 7.939525390222242907e-01
1.923297692652218757e+03 7.923373708280172512e-01
1.923304257777231442e+03 7.906430530294021874e-01
1.923310777171086556e+03 7.889163389513565994e-01
1.923317436724616527e+03 7.871558121743299496e-01
1.923323908989471875e+03 7.853216187511247171e-01
1.923330567300676648e+03 7.833753825418358074e-01
1.923337087305291107e+03 7.812800688142282901e-01
1.923343650307303960e+03 7.790666325423850624e-01
1.923350265175603454e+03 7.768762289750045236e-01
1.923356736993287768e+03 7.748791170864780531e-01
